hazodi;14.41.1.220;14.41.11;
berinpol;14.41.31.220;14.1.31;
berinpol;14.41.31.220;14.1.45;
berinpol;14.41.31.220;14.41.47;
berinpol;14.41.31.220;14.41.45;
berinpol;14.41.31.220;14.41.31;
houtpol;14.41.39.220;14.41.39;
kempen;14.41.40.220;14.1.36;
kempen;14.41.40.220;14.1.43;
kempen;14.41.40.220;14.41.43;
kempen;14.41.40.220;14.41.40;
kempen;14.41.40.220;14.41.36;
lommpol;14.41.42.220;14.1.41;
lommpol;14.41.42.220;14.41.42;
struiden;14.41.44.220;14.1.44;
struiden;14.41.44.220;14.41.33;
struiden;14.41.44.220;14.41.48;
struiden;14.41.44.220;14.41.44;
gaoz;14.42.1.220;14.2.44;
gaoz;14.42.1.220;14.42.1;
gaoz;14.42.1.220;14.42.55;
gaoz;14.42.1.220;14.42.44;
gaoz;14.42.1.220;14.42.36;
gaoz;14.42.1.220;14.42.6;
gaoz;14.42.1.220;14.42.5;
haspro;14.42.20.220;;
bilzen;14.42.32.220;14.2.32;
bilzen;14.42.32.220;14.42.32;
bilzen;14.42.32.220;14.42.48;
bilzen;14.42.32.220;14.42.45;
nol;14.42.34.220;14.2.38;
nol;14.42.34.220;14.2.43;
nol;14.42.34.220;14.42.34;
nol;14.42.34.220;14.42.28;
lanaken;14.42.40.220;14.42.40;
maasland;14.42.41.220;14.42.35;
maasland;14.42.41.220;14.42.41;
maasmech;14.42.42.220;14.2.42;
maasmech;14.42.42.220;14.42.42;
voeren;14.42.47.220;14.42.47;
overivl;15.2.68.220;15.2.68;
overivl;15.2.68.220;15.42.68;
overivl;15.2.68.220;15.42.69;
rdl;15.2.70.220;15.2.70;
rdl;15.2.70.220;15.42.27;
rdl;15.2.70.220;15.42.70;
rdl;15.2.70.220;15.42.28;
herko;15.3.39.220;15.3.39;
herko;15.3.39.220;15.43.37;
herko;15.3.39.220;15.43.39;
pzbrt;15.3.49.220;15.3.49;
pzbrt;15.3.49.220;15.43.49;
pzbrt;15.3.49.220;15.43.61;
pzbrt;15.3.49.220;15.43.57;
jodoigne;15.4.37.220;15.4.37;
jodoigne;15.4.37.220;15.4.42;
jodoigne;15.4.37.220;15.44.62;
jodoigne;15.4.37.220;15.44.61;
jodoigne;15.4.37.220;15.44.37;
jodoigne;15.4.37.220;15.4.44;
mazerine;15.4.46.220;15.4.38;
mazerine;15.4.46.220;15.4.39;
mazerine;15.4.46.220;15.44.46;
mazerine;15.4.46.220;15.4.46;
eripgip2;15.41.20.220;;
schaarb;15.41.39.220;15.41.30;
schaarb;15.41.39.220;15.41.39;
schaarb;15.41.39.220;15.41.98;
schaarb;15.41.39.220;15.41.79;
schaarb;15.41.39.220;15.41.78;
schaarb;15.41.39.220;15.41.77;
schaarb;15.41.39.220;15.41.76;
schaarb;15.41.39.220;15.41.75;
schaarb;15.41.39.220;15.41.74;
schaarb;15.41.39.220;15.41.73;
assevl;15.42.1.220;15.2.44;
assevl;15.42.1.220;15.42.1;
assevl;15.42.1.220;15.42.65;
assevl;15.42.1.220;15.42.64;
assevl;15.42.1.220;15.42.53;
assevl;15.42.1.220;15.42.44;
assevl;15.42.1.220;15.42.2;
pivo;15.42.20.220;;
beersel;15.42.33.220;15.42.33;
dilbevl;15.42.34.220;15.42.34;
dilbevl;15.42.34.220;15.42.63;
hallevl;15.42.38.220;15.42.38;
tarl;15.42.41.220;15.2.31;
tarl;15.42.41.220;15.42.31;
tarl;15.42.41.220;15.42.50;
tarl;15.42.41.220;15.42.46;
tarl;15.42.41.220;15.42.41;
pzklm;15.42.42.220;15.2.43;
pzklm;15.42.42.220;15.42.42;
pzklm;15.42.42.220;15.42.72;
pzklm;15.42.42.220;15.42.71;
pzklm;15.42.42.220;15.42.43;
stplwvl;15.42.45.220;15.2.45;
stplwvl;15.42.45.220;15.42.45;
vilvoord;15.42.47.220;15.42.47;
vilvoord;15.42.47.220;15.42.51;
vilvoord;15.42.47.220;15.42.62;
vilvoord;15.42.47.220;15.42.61;
vilvoord;15.42.47.220;15.42.60;
vilvoord;15.42.47.220;15.42.59;
vilvoord;15.42.47.220;15.42.58;
vilvoord;15.42.47.220;15.42.57;
vilvoord;15.42.47.220;15.42.56;
vilvoord;15.42.47.220;15.42.55;
zavenvl;15.42.48.220;15.42.48;
kastze;15.42.52.220;15.2.39;
kastze;15.42.52.220;15.2.49;
kastze;15.42.52.220;15.42.52;
kastze;15.42.52.220;15.42.49;
kastze;15.42.52.220;15.42.39;
wezembek;15.42.66.220;15.42.66;
wezembek;15.42.66.220;15.42.67;
leuven;15.43.1.220;15.43.1;
leuven;15.43.1.220;15.43.2;
leuven;15.43.1.220;15.43.9;
